Sno,States,Literacy rate 2011,Male Literacy rate,Female Literacy rate,Literacy rate 2001,Decadal Difference,Latitude,Longitude
1,Kerala,93.91,96.02,91.98,90.86,3.05,8.5241391,76.9366376
2,Mizoram,91.58,93.72,89.4,88.8,2.78,23.727107,92.7176389
3,Tripura,87.75,92.18,83.15,73.19,14.56,23.831457,91.2867777
4,Goa,87.4,92.81,81.84,82.01,5.39,,
5,Himachal Pradesh,83.78,90.83,76.6,76.48,7.3,31.1048145,77.1734033
6,Maharashtra,82.91,89.82,75.48,76.88,6.03,19.2952325,72.8543897
7,Sikkim,82.2,87.29,76.43,68.81,13.39,,
8,Tamil Nadu,80.33,86.81,73.86,73.45,6.88,13.0826802,80.2707184
9,Nagaland,80.11,83.29,76.89,66.59,13.52,25.8629885,93.7536663
10,Manipur,79.85,86.49,73.17,69.93,9.92,24.8170111,93.9368439
11,Uttarakhand,79.63,88.33,70.7,71.62,8.01,29.8542626,77.8880002
12,Gujarat,79.31,87.23,70.73,69.14,10.17,23.2156354,72.6369415
13,West Bengal,77.08,82.67,71.16,68.64,8.44,22.572646,88.363895
14,Punjab,76.68,81.48,71.34,69.65,7.03,31.6339793,74.8722642
15,Haryana,76.64,85.38,66.77,67.91,8.73,28.4089123,77.3177894
16,Karnataka,75.6,82.85,68.13,66.64,8.96,12.9716,77.5946
17,Meghalaya,75.48,77.17,73.78,62.56,12.92,25.5714,91.8848
18,Odisha,73.45,82.4,64.36,63.08,10.37,20.2960587,85.8245398
19,Assam,73.18,78.81,67.27,63.25,9.93,,
20,Chhattisgarh,71.04,81.45,60.59,64.66,6.38,,
21,Madhya Pradesh,70.63,80.53,60.02,63.74,6.89,,
22,Uttar Pradesh,69.72,79.24,59.26,56.27,13.45,,
23,Jammu & Kashmir,68.74,78.26,58.01,55.52,13.22,,
24,Jharkhand,67.63,78.45,56.21,53.56,14.07,,
25,Andhra Pradesh,67.4,75.56,59.74,--,--,,
26,Rajasthan,67.06,80.51,52.66,60.41,6.65,,
27,Arunachal Pradesh,66.95,73.69,59.57,54.34,12.61,,
28,Telangana,66.5,--,--,--,--,,
29,Bihar,63.82,73.39,53.33,47,16.82,,
